bipolar_label,mono1_idx,mono2_idx,dist_to_midpoint,mono_pair_distance,midpoint_ratio
A*1-A*2,2,1,3.552713678800501e-15,3.948647743215386,8.997292009407313e-16
A*2-A*3,3,2,3.66205343881779e-15,3.1966936043355845,1.1455753638227653e-15
A*3-A*4,4,3,3.552713678800501e-15,3.4994030919572547,1.0152341943586766e-15
A*4-A*5,5,4,3.552713678800501e-15,3.5970421181854464,9.876764191439896e-16
A*5-A*6,5,6,3.972054645195637e-15,3.5113943099572267,1.1311901468687207e-15
A*6-A*7,7,6,1.7763568394002505e-15,3.6248679975965925,4.9004731774440995e-16
A*7-A*8,7,8,0.0,3.8972835411347733,0.0
A*8-A*9,8,9,1.7763568394002505e-15,3.353021622357974,5.297779255448159e-16
A*9-A*10,9,10,2.5121479338940403e-15,3.0501872073694174,8.236045078884769e-16
A*12-A*13,13,12,0.0,3.771465232505792,0.0
A*13-A*14,13,14,7.53644380168212e-15,3.5003846931444618,2.1530330127543316e-15
A*14-A*15,15,14,0.0,3.4995363978675758,0.0
A*15-A*16,15,16,1.7763568394002505e-15,3.500517961673672,5.074554276963142e-16
A*16-A*17,17,16,1.7763568394002505e-15,3.499403091957257,5.07617097179338e-16
A*17-A*18,18,17,0.0,3.50051796167368,0.0
B*1-B*2,19,20,5.0242958677880805e-15,3.5590841518570544,1.4116822343650116e-15
B*2-B*3,21,20,3.552713678800501e-15,3.4733711290329974,1.0228430958912731e-15
B*3-B*4,22,21,5.0242958677880805e-15,3.1865548794897536,1.576717193896569e-15
B*4-B*5,23,22,3.972054645195637e-15,3.849096647266743,1.031944637715235e-15
B*5-B*6,23,24,0.0,3.6984430507985433,0.0
B*6-B*7,24,25,3.972054645195637e-15,3.305744847988112,1.2015611693721134e-15
B*7-B*8,26,25,1.7763568394002505e-15,3.500080856208892,5.075188009581589e-16
B*8-B*9,27,26,7.944109290391274e-15,3.5679794001647447,2.226500884512462e-15
B*9-B*10,28,27,8.140289677804162e-15,3.501534520749449,2.324777788013792e-15
B*10-B*11,29,28,1.7763568394002505e-15,3.8391878047316172,4.626907902787439e-16
B*11-B*12,30,29,3.552713678800501e-15,3.1390848985014843,1.1317673123448622e-15
B*12-B*13,31,30,1.7763568394002505e-15,3.5653953497473285,4.982215617478826e-16
B*13-B*14,31,32,7.105427357601002e-15,3.708495786703849,1.915986363817462e-15
B*14-B*15,33,32,0.0,3.315542338743357,0.0
D*1-D*2,34,35,7.944109290391274e-15,3.5719078935493185,2.2240521108440957e-15
D*2-D*3,36,35,3.552713678800501e-15,3.7172040568147438,9.557488974236864e-16
D*3-D*4,37,36,0.0,3.0595924565209685,0.0
D*4-D*5,37,38,3.552713678800501e-15,3.7743599457391346,9.412758003672143e-16
D*5-D*6,38,39,3.552713678800501e-15,3.8965574549851056,9.117570367798335e-16
D*6-D*7,40,39,0.0,3.1120798511606362,0.0
D*7-D*8,40,41,0.0,3.5114150993580973,0.0
D*8-D*9,41,42,7.32410687763558e-15,3.8985908992865643,1.878654895278702e-15
D*9-D*10,42,43,7.105427357601002e-15,3.2825564732385035,2.1646017107479547e-15
D*10-D*11,44,43,7.32410687763558e-15,3.6447296196014287,2.0095062301039775e-15
D*11-D*12,44,45,1.7763568394002505e-15,3.8483660168960085,4.615872896706826e-16
D*12-D*13,45,46,7.105427357601002e-15,2.865892880063739,2.4793066785666092e-15
D*13-D*14,46,47,0.0,3.003382093573839,0.0
D*14-D*15,47,48,3.552713678800501e-15,3.663098551772799,9.698657102960426e-16
E*1-E*2,50,49,0.0,3.7155820539990767,0.0
E*2-E*3,50,51,3.552713678800501e-15,3.7455002336136602,9.485284894434229e-16
E*3-E*4,52,51,0.0,3.4218721484006474,0.0
E*4-E*5,52,53,7.944109290391274e-15,3.7179533348335476,2.136688811008112e-15
E*5-E*6,54,53,0.0,3.975771874743314,0.0
E*6-E*7,55,54,0.0,3.140773949204249,0.0
E*7-E*8,55,56,0.0,3.2494208714784762,0.0
E*8-E*9,57,56,0.0,3.9677910731287303,0.0
E*9-E*10,58,57,7.32410687763558e-15,3.0891769130303914,2.3708926629418825e-15
I*1-I*2,59,60,3.552713678800501e-15,3.574417295168546,9.939280686677588e-16
I*2-I*3,60,61,5.0242958677880805e-15,3.941943429325177,1.2745733057480527e-15
I*3-I*4,61,62,3.972054645195637e-15,3.6575066643821796,1.0860006582832856e-15
I*4-I*5,62,63,7.32410687763558e-15,3.576020833272638,2.0481163894480972e-15
I*5-I*6,64,63,7.32410687763558e-15,3.3743866109264977,2.1705002188893955e-15
I*6-I*7,65,64,7.32410687763558e-15,3.2775295574563494,2.2346425102318513e-15
I*7-I*8,66,65,0.0,3.403015721385958,0.0
I*8-I*9,66,67,0.0,3.327203179849415,0.0
I*9-I*10,67,68,7.105427357601002e-15,3.4854544897329958,2.0385942144788346e-15
U*1-U*2,69,70,3.552713678800501e-15,3.622250957622892,9.80802744029363e-16
U*2-U*3,71,70,3.552822097363439e-15,3.500161281998304,1.0150452539529992e-15
U*3-U*4,71,72,1.0039712117215771e-16,3.5056494405459167,2.863866535282967e-17
U*4-U*5,72,73,3.552713678800501e-15,3.955793093679214,8.981040197669403e-16
U*5-U*6,74,73,3.552713678800501e-15,3.222267524585745,1.1025508129577588e-15
U*6-U*7,74,75,0.0,3.79949115014102,0.0
U*7-U*8,76,75,0.0,3.3308167166627554,0.0
U*8-U*9,76,77,2.220446049250313e-16,3.966815599444975,5.597552983205046e-17
U*9-U*10,78,77,2.220446049250313e-16,2.7403463284774707,8.10279352713486e-17
W*1-W*2,79,80,3.552822097363439e-15,3.7542237546528865,9.463533155047612e-16
W*2-W*3,80,81,5.551115123125783e-17,3.164596972759716,1.7541302007513228e-17
W*3-W*4,81,82,7.105644194726877e-15,3.873714109223876,1.8343233378543535e-15
W*4-W*5,83,82,0.0,3.190858505167518,0.0
W*5-W*6,84,83,7.105427357601002e-15,3.8556706290864717,1.8428512290435595e-15
W*6-W*7,85,84,0.0,3.5004805384404007,0.0
W*7-W*8,86,85,3.553147333202946e-15,3.4994806757574852,1.0153356061704294e-15
