contact_index,type,contact_label,roi_id,roi_rank,distance
1,bipolar,A*1-A*2,657,1,6.346659460795371
2,bipolar,A*2-A*3,664,1,4.384138308351551
3,bipolar,A*3-A*4,664,1,1.5321619652145841
4,bipolar,A*4-A*5,664,1,2.3595689486149087
5,bipolar,A*5-A*6,801,1,1.394558405027635
6,bipolar,A*6-A*7,801,1,4.202055488294571
7,bipolar,A*7-A*8,805,1,4.492443062429502
8,bipolar,A*8-A*9,805,1,2.847264974298089
9,bipolar,A*9-A*10,809,1,3.3653890686768038
10,bipolar,A*12-A*13,723,1,2.7371799551794935
11,bipolar,A*13-A*14,389,1,1.9641195605575827
12,bipolar,A*14-A*15,389,1,2.139756515978004
13,bipolar,A*15-A*16,106,1,1.6895965053595647
14,bipolar,A*16-A*17,117,1,2.911932869341451
15,bipolar,A*17-A*18,130,1,2.9928674008690037
16,bipolar,B*1-B*2,421,1,9.503125906604247
17,bipolar,B*2-B*3,421,1,6.697685360945287
18,bipolar,B*3-B*4,422,1,4.181024428081396
19,bipolar,B*4-B*5,422,1,2.8460074445338375
20,bipolar,B*5-B*6,430,1,3.2328878286731544
21,bipolar,B*6-B*7,50,1,2.932424488487794
22,bipolar,B*7-B*8,50,1,3.1889018017358635
23,bipolar,B*8-B*9,60,1,3.2666596569547517
24,bipolar,B*9-B*10,294,1,3.569566852775194
25,bipolar,B*10-B*11,295,1,2.016338590346566
26,bipolar,B*11-B*12,295,1,3.0031373134626405
27,bipolar,B*12-B*13,162,1,4.180481946841617
28,bipolar,B*13-B*14,162,1,6.296310499564931
29,bipolar,B*14-B*15,162,1,9.328344227550824
30,bipolar,D*1-D*2,406,1,1.2178618932615708
31,bipolar,D*2-D*3,406,1,4.567226563765078
32,bipolar,D*3-D*4,412,1,4.584382464405724
33,bipolar,D*4-D*5,441,1,2.954847582895872
34,bipolar,D*5-D*6,446,1,2.0099648754953994
35,bipolar,D*6-D*7,783,1,1.869040136455668
36,bipolar,D*7-D*8,783,1,1.9882276899237767
37,bipolar,D*8-D*9,790,1,2.1333015369066386
38,bipolar,D*9-D*10,798,1,2.550819253244295
39,bipolar,D*10-D*11,397,1,1.1646451522843149
40,bipolar,D*11-D*12,399,1,2.1305338835975176
41,bipolar,D*12-D*13,174,1,3.439402471512112
42,bipolar,D*13-D*14,175,1,3.1168827412368785
43,bipolar,D*14-D*15,172,1,1.494385020820181
44,bipolar,E*1-E*2,740,1,2.989777220284942
45,bipolar,E*2-E*3,469,1,3.018836975225535
46,bipolar,E*3-E*4,469,1,3.796647239684285
47,bipolar,E*4-E*5,491,1,4.218990721477031
48,bipolar,E*5-E*6,495,1,3.0481497933582795
49,bipolar,E*6-E*7,496,1,2.83972531873556
50,bipolar,E*7-E*8,496,1,3.1322876464481997
51,bipolar,E*8-E*9,496,1,5.610076840597806
52,bipolar,E*9-E*10,499,1,7.302783177261499
53,bipolar,I*1-I*2,686,1,15.289535775049595
54,bipolar,I*2-I*3,686,1,11.757489450865885
55,bipolar,I*3-I*4,686,1,8.84287780017523
56,bipolar,I*4-I*5,687,1,7.509291169035003
57,bipolar,I*5-I*6,687,1,5.338793143566348
58,bipolar,I*6-I*7,688,1,4.153592082612477
59,bipolar,I*7-I*8,762,1,3.1179013495002184
60,bipolar,I*8-I*9,762,1,4.849850229570814
61,bipolar,I*9-I*10,763,1,6.910712881915614
62,bipolar,U*1-U*2,144,1,2.2072277799016597
63,bipolar,U*2-U*3,148,1,2.934247927485342
64,bipolar,U*3-U*4,320,1,2.580432357078007
65,bipolar,U*4-U*5,325,1,1.629038323408432
66,bipolar,U*5-U*6,325,1,1.80522763633403
67,bipolar,U*6-U*7,260,1,4.378634939819482
68,bipolar,U*7-U*8,259,1,1.9425460646285555
69,bipolar,U*8-U*9,259,1,2.1165538429397643
70,bipolar,U*9-U*10,155,1,4.555419934653607
71,bipolar,W*1-W*2,150,1,7.851216075328369
72,bipolar,W*2-W*3,150,1,7.426011112342768
73,bipolar,W*3-W*4,150,1,8.18744061016549
74,bipolar,W*4-W*5,330,1,9.888205025371201
75,bipolar,W*5-W*6,330,1,10.761867860714194
76,bipolar,W*6-W*7,330,1,12.243151821770693
77,bipolar,W*7-W*8,330,1,14.485003456682119
