contact_index,type,contact_label,roi_id,roi_rank,distance
1,monopolar,A*1,657,1,6.163503039722588
2,monopolar,A*2,657,1,4.656025605553942
3,monopolar,A*3,664,1,2.541184437152025
4,monopolar,A*4,664,1,1.6280692791436446
5,monopolar,A*5,801,1,2.140173088118358
6,monopolar,A*6,801,1,2.870017857388375
7,monopolar,A*7,805,1,5.81202738056052
8,monopolar,A*8,805,1,2.9165474587162077
9,monopolar,A*9,805,1,2.550390575085914
10,monopolar,A*10,809,1,3.3489159023731223
11,monopolar,A*11,809,1,4.66318262957268
12,monopolar,A*12,299,1,5.331073470683195
13,monopolar,A*13,299,1,2.8110573132740604
14,monopolar,A*14,299,1,2.4704709144148818
15,monopolar,A*15,219,1,1.958119003407561
16,monopolar,A*16,221,1,1.6421825463813837
17,monopolar,A*17,221,1,3.615183227787718
18,monopolar,A*18,131,1,3.1132895149621946
19,monopolar,B*1,417,1,10.579939378760718
20,monopolar,B*2,421,1,7.97696417160569
21,monopolar,B*3,422,1,5.429349378650315
22,monopolar,B*4,422,1,2.950659693091339
23,monopolar,B*5,430,1,2.7353292695397284
24,monopolar,B*6,430,1,2.8347382214099044
25,monopolar,B*7,50,1,1.670616667552037
26,monopolar,B*8,54,1,2.0840747520869325
27,monopolar,B*9,54,1,2.572516456876953
28,monopolar,B*10,62,1,2.068883743330016
29,monopolar,B*11,65,1,2.650713247891053
30,monopolar,B*12,67,1,3.2193559664389273
31,monopolar,B*13,67,1,4.255220248948667
32,monopolar,B*14,67,1,6.785916269258611
33,monopolar,B*15,162,1,9.802272796546955
34,monopolar,D*1,546,1,1.3951596200682705
35,monopolar,D*2,406,1,3.5493105932106954
36,monopolar,D*3,408,1,4.887061131957386
37,monopolar,D*4,412,1,4.4896530912323716
38,monopolar,D*5,441,1,1.2955032356451872
39,monopolar,D*6,446,1,1.0904986424924497
40,monopolar,D*7,783,1,0.6278831723460081
41,monopolar,D*8,790,1,2.0111683056403553
42,monopolar,D*9,796,1,0.9686464660027073
43,monopolar,D*10,392,1,1.9420335918463436
44,monopolar,D*11,397,1,2.679715275066641
45,monopolar,D*12,158,1,3.525304423037053
46,monopolar,D*13,158,1,2.1326857461991944
47,monopolar,D*14,166,1,2.8442596341808724
48,monopolar,D*15,166,1,1.853833004313091
49,monopolar,E*1,740,1,2.178457476951107
50,monopolar,E*2,469,1,1.9595555019282893
51,monopolar,E*3,469,1,3.1461414990035994
52,monopolar,E*4,491,1,3.1896013645736914
53,monopolar,E*5,491,1,2.3176103846488405
54,monopolar,E*6,495,1,1.4906561968534449
55,monopolar,E*7,496,1,2.2961282487090884
56,monopolar,E*8,497,1,4.012793646716072
57,monopolar,E*9,499,1,4.843898127229334
58,monopolar,E*10,499,1,6.841729502404047
59,monopolar,I*1,686,1,14.481755895596127
60,monopolar,I*2,686,1,11.607931055475873
61,monopolar,I*3,686,1,8.310538372406944
62,monopolar,I*4,687,1,6.959196879936423
63,monopolar,I*5,687,1,4.5130209774895125
64,monopolar,I*6,688,1,2.4109904112689406
65,monopolar,I*7,760,1,3.286921902861004
66,monopolar,I*8,760,1,2.709013212296623
67,monopolar,I*9,763,1,5.6435751367259135
68,monopolar,I*10,348,1,5.244956089049542
69,monopolar,U*1,7,1,2.4335096874054747
70,monopolar,U*2,144,1,1.5698356280864703
71,monopolar,U*3,146,1,2.598021427394914
72,monopolar,U*4,148,1,2.6849564605450547
73,monopolar,U*5,198,1,2.442606441095379
74,monopolar,U*6,325,1,1.9651514625313775
75,monopolar,U*7,327,1,2.025947008851105
76,monopolar,U*8,327,1,3.3583818512198804
77,monopolar,U*9,259,1,3.0595366853025285
78,monopolar,U*10,259,1,3.118310356250924
79,monopolar,W*1,33,1,7.607875137717601
80,monopolar,W*2,49,1,8.928093062140393
81,monopolar,W*3,150,1,9.085557547718526
82,monopolar,W*4,150,1,8.598186490722117
83,monopolar,W*5,150,1,10.051610124185995
84,monopolar,W*6,330,1,11.24190809073279
85,monopolar,W*7,330,1,12.174165950195226
86,monopolar,W*8,330,1,13.711933360307327
