rank,roi_id,roi_name,hemi_name,hemi_mni,hemi_ref,ipsi_contra,node_energy,hemi_mismatch,mni_x,mni_y,mni_z
1,421,7Networks_RH_Vis_21,RH,RH,RH,contra,8.360438400891312,False,38.18107,32.670782,33.91358
2,412,7Networks_RH_Vis_12,RH,RH,RH,contra,3.699037087890152,False,32.572519,33.931298,32.022901
3,430,7Networks_RH_Vis_30,RH,RH,RH,contra,2.9619089027056287,False,42.978102,23.948905,35.583942
4,422,7Networks_RH_Vis_22,RH,RH,RH,contra,2.2189922247830545,False,40.737643,27.072243,34.011407
5,295,7Networks_LH_Cont_pCun_2,LH,RH,RH,contra,1.4981515795378897,True,49.414894,24.446809,58.297872
6,117,7Networks_LH_SomMot_50,LH,RH,RH,contra,1.3596589663467602,True,46.990991,52.918919,66.414414
7,406,7Networks_RH_Vis_6,RH,RH,RH,contra,1.1626990246811124,False,21.905941,34.212871,27.316832
8,130,7Networks_LH_SomMot_63,LH,RH,RH,contra,0.9208591704399276,True,54.557377,51.114754,70.0
9,172,7Networks_LH_DorsAttn_Post_30,LH,RH,RH,contra,0.8760331557507,True,59.613861,32.683168,67.366337
10,723,7Networks_RH_Cont_Cing_3,RH,RH,RH,contra,0.8500819756010677,False,42.269231,54.201923,50.865385
11,259,7Networks_LH_Cont_Par_1,LH,RH,RH,contra,0.704817703350541,True,74.536145,42.271084,58.006024
12,260,7Networks_LH_Cont_Par_2,LH,RH,RH,contra,0.6532159591668746,True,71.672026,37.990354,57.848875
13,294,7Networks_LH_Cont_pCun_1,LH,RH,RH,contra,0.6441563550089188,True,49.027523,26.587156,54.486239
14,325,7Networks_LH_Default_Par_6,LH,RH,RH,contra,0.6098345021080267,True,70.404959,36.0,48.603306
15,809,THA-DAm-rh,,RH,RH,contra,0.5708792296438396,False,40.151163,50.877907,41.569767
16,657,7Networks_RH_Limbic_TempPole_5,RH,RH,RH,contra,0.4620493915024554,False,29.45974,58.088312,18.506494
17,162,7Networks_LH_DorsAttn_Post_20,LH,RH,RH,contra,0.456319023418532,True,51.76506,25.216867,62.289157
18,805,THA-VPm-rh,,RH,RH,contra,0.4114249108233686,False,40.238636,50.943182,36.897727
19,155,7Networks_LH_DorsAttn_Post_13,LH,RH,RH,contra,0.3938477397913636,True,72.541935,45.812903,59.503226
20,389,7Networks_LH_Default_pCunPCC_17,LH,RH,RH,contra,0.380146391647546,True,46.184971,55.104046,54.0
21,740,7Networks_RH_Default_Temp_4,RH,RH,RH,contra,0.3570927953179263,False,15.141618,60.549133,27.624277
22,60,7Networks_LH_Vis_60,LH,RH,RH,contra,0.3515367889359453,True,48.666667,24.825641,49.133333
23,446,7Networks_RH_Vis_46,RH,RH,RH,contra,0.3485471987430329,False,34.565789,33.368421,41.447368
24,441,7Networks_RH_Vis_41,RH,RH,RH,contra,0.3037533583315815,False,33.450495,34.09901,38.59901
25,106,7Networks_LH_SomMot_39,LH,RH,RH,contra,0.2915358117041434,True,47.73822,54.91623,60.926702
26,798,7Networks_RH_Default_pCunPCC_19,RH,RH,RH,contra,0.2576964370324656,False,41.544872,33.442308,57.301282
27,688,7Networks_RH_Cont_PFCl_5,RH,RH,RH,contra,0.2410643775777057,False,35.150641,95.326923,34.355769
28,763,7Networks_RH_Default_PFCdPFCm_8,RH,RH,RH,contra,0.1589988995245989,False,41.385567,91.468041,41.134021
29,762,7Networks_RH_Default_PFCdPFCm_7,RH,RH,RH,contra,0.1567857522963605,False,35.44918,96.203279,41.606557
30,148,7Networks_LH_DorsAttn_Post_6,LH,RH,RH,contra,0.1426903530485733,True,68.974026,31.800866,41.822511
31,320,7Networks_LH_Default_Par_1,LH,RH,RH,contra,0.1386726442358915,True,68.745763,32.822034,45.110169
32,686,7Networks_RH_Cont_PFCl_3,RH,RH,RH,contra,0.1354936895171969,False,24.570281,88.389558,29.738956
33,144,7Networks_LH_DorsAttn_Post_2,LH,RH,RH,contra,0.1347636484850019,True,68.148936,32.265957,32.308511
34,790,7Networks_RH_Default_pCunPCC_11,RH,RH,RH,contra,0.1320416085855535,False,41.918367,34.591837,49.816327
35,397,7Networks_LH_Default_pCunPCC_25,LH,RH,RH,contra,0.1180040404349877,True,47.409091,33.727273,57.477273
36,50,7Networks_LH_Vis_50,LH,RH,RH,contra,0.1164508174861682,True,45.59596,23.080808,42.494949
37,499,7Networks_RH_SomMot_32,RH,RH,RH,contra,0.1162623715995195,False,14.212766,59.170213,54.978723
38,687,7Networks_RH_Cont_PFCl_4,RH,RH,RH,contra,0.1134240713577318,False,29.695455,92.259091,34.172727
39,399,7Networks_LH_Default_pCunPCC_27,LH,RH,RH,contra,0.107965206438876,True,47.5,34.0625,60.671875
40,175,7Networks_LH_DorsAttn_Post_33,LH,RH,RH,contra,0.0988630530509452,True,55.526882,32.473118,67.408602
41,330,7Networks_LH_Default_Par_11,LH,RH,RH,contra,0.0971871556320372,True,64.107143,25.678571,57.833333
42,174,7Networks_LH_DorsAttn_Post_32,LH,RH,RH,contra,0.088938173535468,True,50.1,31.672727,65.745455
43,664,7Networks_RH_Limbic_TempPole_12,RH,RH,RH,contra,0.0869454132567722,False,33.974522,56.235669,21.184713
44,491,7Networks_RH_SomMot_24,RH,RH,RH,contra,0.0823531892540244,False,14.941176,62.535294,41.470588
45,801,HIP-head-m-rh,,RH,RH,contra,0.0740422040750179,False,34.684615,56.230769,26.184615
46,496,7Networks_RH_SomMot_29,RH,RH,RH,contra,0.0727079270891384,False,12.123596,59.94382,48.516854
47,469,7Networks_RH_SomMot_2,RH,RH,RH,contra,0.0662991680320931,False,14.701613,61.524194,33.056452
48,150,7Networks_LH_DorsAttn_Post_8,LH,RH,RH,contra,0.0373898817643519,True,64.138889,21.920139,52.225694
49,495,7Networks_RH_SomMot_28,RH,RH,RH,contra,0.0192597326286264,False,13.694737,62.284211,44.873684
50,783,7Networks_RH_Default_pCunPCC_4,RH,RH,RH,contra,0.0111748268940837,False,37.088889,33.911111,46.488889
