rank,roi_id,roi_name,hemi_name,hemi_mni,hemi_ref,ipsi_contra,node_energy,hemi_mismatch,mni_x,mni_y,mni_z
1,421,7Networks_RH_Vis_21,RH,RH,RH,contra,5.823627245032203,False,38.18107,32.670782,33.91358
2,430,7Networks_RH_Vis_30,RH,RH,RH,contra,3.9408595858389535,False,42.978102,23.948905,35.583942
3,412,7Networks_RH_Vis_12,RH,RH,RH,contra,2.692783487888252,False,32.572519,33.931298,32.022901
4,422,7Networks_RH_Vis_22,RH,RH,RH,contra,2.5111619851607223,False,40.737643,27.072243,34.011407
5,295,7Networks_LH_Cont_pCun_2,LH,RH,RH,contra,1.6539395989136496,True,49.414894,24.446809,58.297872
6,657,7Networks_RH_Limbic_TempPole_5,RH,RH,RH,contra,1.431323058864783,False,29.45974,58.088312,18.506494
7,406,7Networks_RH_Vis_6,RH,RH,RH,contra,1.1538428792142614,False,21.905941,34.212871,27.316832
8,809,THA-DAm-rh,,RH,RH,contra,1.0439683729524385,False,40.151163,50.877907,41.569767
9,60,7Networks_LH_Vis_60,LH,RH,RH,contra,0.9969271531590832,True,48.666667,24.825641,49.133333
10,723,7Networks_RH_Cont_Cing_3,RH,RH,RH,contra,0.929391479881179,False,42.269231,54.201923,50.865385
11,805,THA-VPm-rh,,RH,RH,contra,0.9239734533710726,False,40.238636,50.943182,36.897727
12,294,7Networks_LH_Cont_pCun_1,LH,RH,RH,contra,0.7796226164870486,True,49.027523,26.587156,54.486239
13,117,7Networks_LH_SomMot_50,LH,RH,RH,contra,0.6563679069786638,True,46.990991,52.918919,66.414414
14,740,7Networks_RH_Default_Temp_4,RH,RH,RH,contra,0.6478780697987786,False,15.141618,60.549133,27.624277
15,130,7Networks_LH_SomMot_63,LH,RH,RH,contra,0.6127431344831915,True,54.557377,51.114754,70.0
16,259,7Networks_LH_Cont_Par_1,LH,RH,RH,contra,0.6003976064511578,True,74.536145,42.271084,58.006024
17,441,7Networks_RH_Vis_41,RH,RH,RH,contra,0.5344740271862183,False,33.450495,34.09901,38.59901
18,325,7Networks_LH_Default_Par_6,LH,RH,RH,contra,0.5299319429648437,True,70.404959,36.0,48.603306
19,162,7Networks_LH_DorsAttn_Post_20,LH,RH,RH,contra,0.5189053245723874,True,51.76506,25.216867,62.289157
20,686,7Networks_RH_Cont_PFCl_3,RH,RH,RH,contra,0.491329342035123,False,24.570281,88.389558,29.738956
21,446,7Networks_RH_Vis_46,RH,RH,RH,contra,0.4833656559329686,False,34.565789,33.368421,41.447368
22,260,7Networks_LH_Cont_Par_2,LH,RH,RH,contra,0.4777060180615989,True,71.672026,37.990354,57.848875
23,106,7Networks_LH_SomMot_39,LH,RH,RH,contra,0.4070773798771844,True,47.73822,54.91623,60.926702
24,172,7Networks_LH_DorsAttn_Post_30,LH,RH,RH,contra,0.3795673018446565,True,59.613861,32.683168,67.366337
25,491,7Networks_RH_SomMot_24,RH,RH,RH,contra,0.3640105882529711,False,14.941176,62.535294,41.470588
26,389,7Networks_LH_Default_pCunPCC_17,LH,RH,RH,contra,0.3557998425241586,True,46.184971,55.104046,54.0
27,798,7Networks_RH_Default_pCunPCC_19,RH,RH,RH,contra,0.3163523639666062,False,41.544872,33.442308,57.301282
28,801,HIP-head-m-rh,,RH,RH,contra,0.2476892632046593,False,34.684615,56.230769,26.184615
29,496,7Networks_RH_SomMot_29,RH,RH,RH,contra,0.2428742065887245,False,12.123596,59.94382,48.516854
30,155,7Networks_LH_DorsAttn_Post_13,LH,RH,RH,contra,0.2352464026515682,True,72.541935,45.812903,59.503226
31,790,7Networks_RH_Default_pCunPCC_11,RH,RH,RH,contra,0.231994393988642,False,41.918367,34.591837,49.816327
32,469,7Networks_RH_SomMot_2,RH,RH,RH,contra,0.2125327046654266,False,14.701613,61.524194,33.056452
33,763,7Networks_RH_Default_PFCdPFCm_8,RH,RH,RH,contra,0.193661028031427,False,41.385567,91.468041,41.134021
34,50,7Networks_LH_Vis_50,LH,RH,RH,contra,0.1797895864652542,True,45.59596,23.080808,42.494949
35,320,7Networks_LH_Default_Par_1,LH,RH,RH,contra,0.1470708321250662,True,68.745763,32.822034,45.110169
36,664,7Networks_RH_Limbic_TempPole_12,RH,RH,RH,contra,0.1339304740382361,False,33.974522,56.235669,21.184713
37,688,7Networks_RH_Cont_PFCl_5,RH,RH,RH,contra,0.1299304899328139,False,35.150641,95.326923,34.355769
38,762,7Networks_RH_Default_PFCdPFCm_7,RH,RH,RH,contra,0.1143321862231167,False,35.44918,96.203279,41.606557
39,144,7Networks_LH_DorsAttn_Post_2,LH,RH,RH,contra,0.1084928208679379,True,68.148936,32.265957,32.308511
40,148,7Networks_LH_DorsAttn_Post_6,LH,RH,RH,contra,0.1068240199139911,True,68.974026,31.800866,41.822511
41,399,7Networks_LH_Default_pCunPCC_27,LH,RH,RH,contra,0.1038277864043319,True,47.5,34.0625,60.671875
42,330,7Networks_LH_Default_Par_11,LH,RH,RH,contra,0.0993311487631982,True,64.107143,25.678571,57.833333
43,174,7Networks_LH_DorsAttn_Post_32,LH,RH,RH,contra,0.0769178719009013,True,50.1,31.672727,65.745455
44,397,7Networks_LH_Default_pCunPCC_25,LH,RH,RH,contra,0.0715145319343833,True,47.409091,33.727273,57.477273
45,499,7Networks_RH_SomMot_32,RH,RH,RH,contra,0.070514327295705,False,14.212766,59.170213,54.978723
46,495,7Networks_RH_SomMot_28,RH,RH,RH,contra,0.0586640208933922,False,13.694737,62.284211,44.873684
47,175,7Networks_LH_DorsAttn_Post_33,LH,RH,RH,contra,0.0553726514470559,True,55.526882,32.473118,67.408602
48,687,7Networks_RH_Cont_PFCl_4,RH,RH,RH,contra,0.0388002717944015,False,29.695455,92.259091,34.172727
49,150,7Networks_LH_DorsAttn_Post_8,LH,RH,RH,contra,0.0218133503463175,True,64.138889,21.920139,52.225694
50,783,7Networks_RH_Default_pCunPCC_4,RH,RH,RH,contra,0.0029714636948213,False,37.088889,33.911111,46.488889
