rank,roi_id,roi_name,hemi,network,node_energy
1,421,7Networks_RH_Vis_21,RH,Vis,8.470621516613779
2,430,7Networks_RH_Vis_30,RH,Vis,2.9019350033403897
3,412,7Networks_RH_Vis_12,RH,Vis,2.622914324451318
4,422,7Networks_RH_Vis_22,RH,Vis,2.58734306002721
8,723,7Networks_RH_Cont_Cing_3,RH,Cont,1.0705194542008971
13,406,7Networks_RH_Vis_6,RH,Vis,0.7082939751187398
14,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,0.58723887136785
19,740,7Networks_RH_Default_Temp_4,RH,Default,0.4101648829921618
20,446,7Networks_RH_Vis_46,RH,Vis,0.3232895524296182
23,499,7Networks_RH_SomMot_32,RH,SomMot,0.2265536827658985
24,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.2220108823896376
25,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.2195869224771094
26,441,7Networks_RH_Vis_41,RH,Vis,0.2188813137850306
29,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1483604643916944
30,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.139293264881903
32,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.1082523707387775
37,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.0987158064294342
39,491,7Networks_RH_SomMot_24,RH,SomMot,0.0784394788921989
43,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.0550476967421263
44,469,7Networks_RH_SomMot_2,RH,SomMot,0.0526111699049
45,495,7Networks_RH_SomMot_28,RH,SomMot,0.0516952257670238
46,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.0454502140663349
49,496,7Networks_RH_SomMot_29,RH,SomMot,0.0059620256083509
50,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.0010474699003864
