rank,roi_id,roi_name,hemi,network,node_energy
5,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.618066796692725
7,60,7Networks_LH_Vis_60,LH,Vis,1.2590794070504026
12,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.7853258028724107
14,130,7Networks_LH_SomMot_63,LH,SomMot,0.5806158223030626
17,259,7Networks_LH_Cont_Par_1,LH,Cont,0.5386039123448726
18,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.5186808467534567
20,117,7Networks_LH_SomMot_50,LH,SomMot,0.5022148088366603
21,325,7Networks_LH_Default_Par_6,LH,Default,0.4727145105404783
22,106,7Networks_LH_SomMot_39,LH,SomMot,0.4265970626465483
24,260,7Networks_LH_Cont_Par_2,LH,Cont,0.4107445013020392
25,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.3246864499693547
27,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.2999037269009728
30,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.2555519701714085
34,50,7Networks_LH_Vis_50,LH,Vis,0.198851513309597
36,320,7Networks_LH_Default_Par_1,LH,Default,0.1377759077287445
37,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1228935469870791
38,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1181647019826642
39,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.1087167195348886
42,330,7Networks_LH_Default_Par_11,LH,Default,0.0944680718643505
43,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.0850205157047561
45,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.0713608870859668
47,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0572192849191195
49,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.02216382453692
