rank,roi_id,roi_name,hemi,network,node_energy
1,421,7Networks_RH_Vis_21,RH,Vis,5.823627245032203
2,430,7Networks_RH_Vis_30,RH,Vis,3.9408595858389535
3,412,7Networks_RH_Vis_12,RH,Vis,2.692783487888252
4,422,7Networks_RH_Vis_22,RH,Vis,2.5111619851607223
5,295,7Networks_LH_Cont_pCun_2,LH,Cont,1.6539395989136496
6,657,7Networks_RH_Limbic_TempPole_5,RH,Limbic,1.431323058864783
7,406,7Networks_RH_Vis_6,RH,Vis,1.1538428792142614
8,809,THA-DAm-rh,,,1.0439683729524385
9,60,7Networks_LH_Vis_60,LH,Vis,0.9969271531590832
10,723,7Networks_RH_Cont_Cing_3,RH,Cont,0.929391479881179
11,805,THA-VPm-rh,,,0.9239734533710726
12,294,7Networks_LH_Cont_pCun_1,LH,Cont,0.7796226164870486
13,117,7Networks_LH_SomMot_50,LH,SomMot,0.6563679069786638
14,740,7Networks_RH_Default_Temp_4,RH,Default,0.6478780697987786
15,130,7Networks_LH_SomMot_63,LH,SomMot,0.6127431344831915
16,259,7Networks_LH_Cont_Par_1,LH,Cont,0.6003976064511578
17,441,7Networks_RH_Vis_41,RH,Vis,0.5344740271862183
18,325,7Networks_LH_Default_Par_6,LH,Default,0.5299319429648437
19,162,7Networks_LH_DorsAttn_Post_20,LH,DorsAttn,0.5189053245723874
20,686,7Networks_RH_Cont_PFCl_3,RH,Cont,0.491329342035123
21,446,7Networks_RH_Vis_46,RH,Vis,0.4833656559329686
22,260,7Networks_LH_Cont_Par_2,LH,Cont,0.4777060180615989
23,106,7Networks_LH_SomMot_39,LH,SomMot,0.4070773798771844
24,172,7Networks_LH_DorsAttn_Post_30,LH,DorsAttn,0.3795673018446565
25,491,7Networks_RH_SomMot_24,RH,SomMot,0.3640105882529711
26,389,7Networks_LH_Default_pCunPCC_17,LH,Default,0.3557998425241586
27,798,7Networks_RH_Default_pCunPCC_19,RH,Default,0.3163523639666062
28,801,HIP-head-m-rh,,,0.2476892632046593
29,496,7Networks_RH_SomMot_29,RH,SomMot,0.2428742065887245
30,155,7Networks_LH_DorsAttn_Post_13,LH,DorsAttn,0.2352464026515682
31,790,7Networks_RH_Default_pCunPCC_11,RH,Default,0.231994393988642
32,469,7Networks_RH_SomMot_2,RH,SomMot,0.2125327046654266
33,763,7Networks_RH_Default_PFCdPFCm_8,RH,Default,0.193661028031427
34,50,7Networks_LH_Vis_50,LH,Vis,0.1797895864652542
35,320,7Networks_LH_Default_Par_1,LH,Default,0.1470708321250662
36,664,7Networks_RH_Limbic_TempPole_12,RH,Limbic,0.1339304740382361
37,688,7Networks_RH_Cont_PFCl_5,RH,Cont,0.1299304899328139
38,762,7Networks_RH_Default_PFCdPFCm_7,RH,Default,0.1143321862231167
39,144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,0.1084928208679379
40,148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,0.1068240199139911
41,399,7Networks_LH_Default_pCunPCC_27,LH,Default,0.1038277864043319
42,330,7Networks_LH_Default_Par_11,LH,Default,0.0993311487631982
43,174,7Networks_LH_DorsAttn_Post_32,LH,DorsAttn,0.0769178719009013
44,397,7Networks_LH_Default_pCunPCC_25,LH,Default,0.0715145319343833
45,499,7Networks_RH_SomMot_32,RH,SomMot,0.070514327295705
46,495,7Networks_RH_SomMot_28,RH,SomMot,0.0586640208933922
47,175,7Networks_LH_DorsAttn_Post_33,LH,DorsAttn,0.0553726514470559
48,687,7Networks_RH_Cont_PFCl_4,RH,Cont,0.0388002717944015
49,150,7Networks_LH_DorsAttn_Post_8,LH,DorsAttn,0.0218133503463175
50,783,7Networks_RH_Default_pCunPCC_4,RH,Default,0.0029714636948213
