roi_id,roi_name,hemi,network,ipsi_contra
1,7Networks_LH_Vis_1,LH,Vis,ipsi
2,7Networks_LH_Vis_2,LH,Vis,ipsi
3,7Networks_LH_Vis_3,LH,Vis,ipsi
4,7Networks_LH_Vis_4,LH,Vis,ipsi
5,7Networks_LH_Vis_5,LH,Vis,ipsi
6,7Networks_LH_Vis_6,LH,Vis,ipsi
7,7Networks_LH_Vis_7,LH,Vis,ipsi
8,7Networks_LH_Vis_8,LH,Vis,ipsi
9,7Networks_LH_Vis_9,LH,Vis,ipsi
10,7Networks_LH_Vis_10,LH,Vis,ipsi
11,7Networks_LH_Vis_11,LH,Vis,ipsi
12,7Networks_LH_Vis_12,LH,Vis,ipsi
13,7Networks_LH_Vis_13,LH,Vis,ipsi
14,7Networks_LH_Vis_14,LH,Vis,ipsi
15,7Networks_LH_Vis_15,LH,Vis,ipsi
16,7Networks_LH_Vis_16,LH,Vis,ipsi
17,7Networks_LH_Vis_17,LH,Vis,ipsi
18,7Networks_LH_Vis_18,LH,Vis,ipsi
19,7Networks_LH_Vis_19,LH,Vis,ipsi
20,7Networks_LH_Vis_20,LH,Vis,ipsi
21,7Networks_LH_Vis_21,LH,Vis,ipsi
22,7Networks_LH_Vis_22,LH,Vis,ipsi
23,7Networks_LH_Vis_23,LH,Vis,ipsi
24,7Networks_LH_Vis_24,LH,Vis,ipsi
25,7Networks_LH_Vis_25,LH,Vis,ipsi
26,7Networks_LH_Vis_26,LH,Vis,ipsi
27,7Networks_LH_Vis_27,LH,Vis,ipsi
28,7Networks_LH_Vis_28,LH,Vis,ipsi
29,7Networks_LH_Vis_29,LH,Vis,ipsi
30,7Networks_LH_Vis_30,LH,Vis,ipsi
31,7Networks_LH_Vis_31,LH,Vis,ipsi
32,7Networks_LH_Vis_32,LH,Vis,ipsi
33,7Networks_LH_Vis_33,LH,Vis,ipsi
34,7Networks_LH_Vis_34,LH,Vis,ipsi
35,7Networks_LH_Vis_35,LH,Vis,ipsi
36,7Networks_LH_Vis_36,LH,Vis,ipsi
37,7Networks_LH_Vis_37,LH,Vis,ipsi
38,7Networks_LH_Vis_38,LH,Vis,ipsi
39,7Networks_LH_Vis_39,LH,Vis,ipsi
40,7Networks_LH_Vis_40,LH,Vis,ipsi
41,7Networks_LH_Vis_41,LH,Vis,ipsi
42,7Networks_LH_Vis_42,LH,Vis,ipsi
43,7Networks_LH_Vis_43,LH,Vis,ipsi
44,7Networks_LH_Vis_44,LH,Vis,ipsi
45,7Networks_LH_Vis_45,LH,Vis,ipsi
46,7Networks_LH_Vis_46,LH,Vis,ipsi
47,7Networks_LH_Vis_47,LH,Vis,ipsi
48,7Networks_LH_Vis_48,LH,Vis,ipsi
49,7Networks_LH_Vis_49,LH,Vis,ipsi
50,7Networks_LH_Vis_50,LH,Vis,ipsi
51,7Networks_LH_Vis_51,LH,Vis,ipsi
52,7Networks_LH_Vis_52,LH,Vis,ipsi
53,7Networks_LH_Vis_53,LH,Vis,ipsi
54,7Networks_LH_Vis_54,LH,Vis,ipsi
55,7Networks_LH_Vis_55,LH,Vis,ipsi
56,7Networks_LH_Vis_56,LH,Vis,ipsi
57,7Networks_LH_Vis_57,LH,Vis,ipsi
58,7Networks_LH_Vis_58,LH,Vis,ipsi
59,7Networks_LH_Vis_59,LH,Vis,ipsi
60,7Networks_LH_Vis_60,LH,Vis,ipsi
61,7Networks_LH_Vis_61,LH,Vis,ipsi
62,7Networks_LH_Vis_62,LH,Vis,ipsi
63,7Networks_LH_Vis_63,LH,Vis,ipsi
64,7Networks_LH_Vis_64,LH,Vis,ipsi
65,7Networks_LH_Vis_65,LH,Vis,ipsi
66,7Networks_LH_Vis_66,LH,Vis,ipsi
67,7Networks_LH_Vis_67,LH,Vis,ipsi
68,7Networks_LH_SomMot_1,LH,SomMot,ipsi
69,7Networks_LH_SomMot_2,LH,SomMot,ipsi
70,7Networks_LH_SomMot_3,LH,SomMot,ipsi
71,7Networks_LH_SomMot_4,LH,SomMot,ipsi
72,7Networks_LH_SomMot_5,LH,SomMot,ipsi
73,7Networks_LH_SomMot_6,LH,SomMot,ipsi
74,7Networks_LH_SomMot_7,LH,SomMot,ipsi
75,7Networks_LH_SomMot_8,LH,SomMot,ipsi
76,7Networks_LH_SomMot_9,LH,SomMot,ipsi
77,7Networks_LH_SomMot_10,LH,SomMot,ipsi
78,7Networks_LH_SomMot_11,LH,SomMot,ipsi
79,7Networks_LH_SomMot_12,LH,SomMot,ipsi
80,7Networks_LH_SomMot_13,LH,SomMot,ipsi
81,7Networks_LH_SomMot_14,LH,SomMot,ipsi
82,7Networks_LH_SomMot_15,LH,SomMot,ipsi
83,7Networks_LH_SomMot_16,LH,SomMot,ipsi
84,7Networks_LH_SomMot_17,LH,SomMot,ipsi
85,7Networks_LH_SomMot_18,LH,SomMot,ipsi
86,7Networks_LH_SomMot_19,LH,SomMot,ipsi
87,7Networks_LH_SomMot_20,LH,SomMot,ipsi
88,7Networks_LH_SomMot_21,LH,SomMot,ipsi
89,7Networks_LH_SomMot_22,LH,SomMot,ipsi
90,7Networks_LH_SomMot_23,LH,SomMot,ipsi
91,7Networks_LH_SomMot_24,LH,SomMot,ipsi
92,7Networks_LH_SomMot_25,LH,SomMot,ipsi
93,7Networks_LH_SomMot_26,LH,SomMot,ipsi
94,7Networks_LH_SomMot_27,LH,SomMot,ipsi
95,7Networks_LH_SomMot_28,LH,SomMot,ipsi
96,7Networks_LH_SomMot_29,LH,SomMot,ipsi
97,7Networks_LH_SomMot_30,LH,SomMot,ipsi
98,7Networks_LH_SomMot_31,LH,SomMot,ipsi
99,7Networks_LH_SomMot_32,LH,SomMot,ipsi
100,7Networks_LH_SomMot_33,LH,SomMot,ipsi
101,7Networks_LH_SomMot_34,LH,SomMot,ipsi
102,7Networks_LH_SomMot_35,LH,SomMot,ipsi
103,7Networks_LH_SomMot_36,LH,SomMot,ipsi
104,7Networks_LH_SomMot_37,LH,SomMot,ipsi
105,7Networks_LH_SomMot_38,LH,SomMot,ipsi
106,7Networks_LH_SomMot_39,LH,SomMot,ipsi
107,7Networks_LH_SomMot_40,LH,SomMot,ipsi
108,7Networks_LH_SomMot_41,LH,SomMot,ipsi
109,7Networks_LH_SomMot_42,LH,SomMot,ipsi
110,7Networks_LH_SomMot_43,LH,SomMot,ipsi
111,7Networks_LH_SomMot_44,LH,SomMot,ipsi
112,7Networks_LH_SomMot_45,LH,SomMot,ipsi
113,7Networks_LH_SomMot_46,LH,SomMot,ipsi
114,7Networks_LH_SomMot_47,LH,SomMot,ipsi
115,7Networks_LH_SomMot_48,LH,SomMot,ipsi
116,7Networks_LH_SomMot_49,LH,SomMot,ipsi
117,7Networks_LH_SomMot_50,LH,SomMot,ipsi
118,7Networks_LH_SomMot_51,LH,SomMot,ipsi
119,7Networks_LH_SomMot_52,LH,SomMot,ipsi
120,7Networks_LH_SomMot_53,LH,SomMot,ipsi
121,7Networks_LH_SomMot_54,LH,SomMot,ipsi
122,7Networks_LH_SomMot_55,LH,SomMot,ipsi
123,7Networks_LH_SomMot_56,LH,SomMot,ipsi
124,7Networks_LH_SomMot_57,LH,SomMot,ipsi
125,7Networks_LH_SomMot_58,LH,SomMot,ipsi
126,7Networks_LH_SomMot_59,LH,SomMot,ipsi
127,7Networks_LH_SomMot_60,LH,SomMot,ipsi
128,7Networks_LH_SomMot_61,LH,SomMot,ipsi
129,7Networks_LH_SomMot_62,LH,SomMot,ipsi
130,7Networks_LH_SomMot_63,LH,SomMot,ipsi
131,7Networks_LH_SomMot_64,LH,SomMot,ipsi
132,7Networks_LH_SomMot_65,LH,SomMot,ipsi
133,7Networks_LH_SomMot_66,LH,SomMot,ipsi
134,7Networks_LH_SomMot_67,LH,SomMot,ipsi
135,7Networks_LH_SomMot_68,LH,SomMot,ipsi
136,7Networks_LH_SomMot_69,LH,SomMot,ipsi
137,7Networks_LH_SomMot_70,LH,SomMot,ipsi
138,7Networks_LH_SomMot_71,LH,SomMot,ipsi
139,7Networks_LH_SomMot_72,LH,SomMot,ipsi
140,7Networks_LH_SomMot_73,LH,SomMot,ipsi
141,7Networks_LH_SomMot_74,LH,SomMot,ipsi
142,7Networks_LH_SomMot_75,LH,SomMot,ipsi
143,7Networks_LH_DorsAttn_Post_1,LH,DorsAttn,ipsi
144,7Networks_LH_DorsAttn_Post_2,LH,DorsAttn,ipsi
145,7Networks_LH_DorsAttn_Post_3,LH,DorsAttn,ipsi
146,7Networks_LH_DorsAttn_Post_4,LH,DorsAttn,ipsi
147,7Networks_LH_DorsAttn_Post_5,LH,DorsAttn,ipsi
148,7Networks_LH_DorsAttn_Post_6,LH,DorsAttn,ipsi
