rank,roi_id,roi_name,Net,i,j,k
1,421,7Networks_RH_Vis_21,1,38,33,34
2,430,7Networks_RH_Vis_30,1,43,24,36
3,412,7Networks_RH_Vis_12,1,33,34,32
4,422,7Networks_RH_Vis_22,1,41,27,34
5,117,7Networks_LH_SomMot_50,2,47,53,66
6,295,7Networks_LH_Cont_pCun_2,6,49,24,58
7,172,7Networks_LH_DorsAttn_Post_30,3,60,33,67
8,723,7Networks_RH_Cont_Cing_3,6,42,54,51
9,130,7Networks_LH_SomMot_63,2,55,51,70
10,389,7Networks_LH_Default_pCunPCC_17,7,46,55,54
11,259,7Networks_LH_Cont_Par_1,6,75,42,58
12,260,7Networks_LH_Cont_Par_2,6,72,38,58
13,406,7Networks_RH_Vis_6,1,22,34,27
14,657,7Networks_RH_Limbic_TempPole_5,5,29,58,19
15,325,7Networks_LH_Default_Par_6,7,70,36,49
16,155,7Networks_LH_DorsAttn_Post_13,3,73,46,60
17,294,7Networks_LH_Cont_pCun_1,6,49,27,54
18,162,7Networks_LH_DorsAttn_Post_20,3,52,25,62
19,740,7Networks_RH_Default_Temp_4,7,15,61,28
20,446,7Networks_RH_Vis_46,1,35,33,41
21,106,7Networks_LH_SomMot_39,2,48,55,61
22,809,THA-DAm-rh,0,40,51,42
23,499,7Networks_RH_SomMot_32,2,14,59,55
24,688,7Networks_RH_Cont_PFCl_5,6,35,95,34
25,798,7Networks_RH_Default_pCunPCC_19,7,42,33,57
26,441,7Networks_RH_Vis_41,1,34,34,39
27,60,7Networks_LH_Vis_60,1,49,25,49
28,330,7Networks_LH_Default_Par_11,7,64,26,58
29,762,7Networks_RH_Default_PFCdPFCm_7,7,35,96,42
30,686,7Networks_RH_Cont_PFCl_3,6,25,88,30
31,397,7Networks_LH_Default_pCunPCC_25,7,47,34,57
32,763,7Networks_RH_Default_PFCdPFCm_8,7,41,91,41
33,50,7Networks_LH_Vis_50,1,46,23,42
34,144,7Networks_LH_DorsAttn_Post_2,3,68,32,32
35,175,7Networks_LH_DorsAttn_Post_33,3,56,32,67
36,174,7Networks_LH_DorsAttn_Post_32,3,50,32,66
37,687,7Networks_RH_Cont_PFCl_4,6,30,92,34
38,805,THA-VPm-rh,0,40,51,37
39,491,7Networks_RH_SomMot_24,2,15,63,41
40,320,7Networks_LH_Default_Par_1,7,69,33,45
41,399,7Networks_LH_Default_pCunPCC_27,7,48,34,61
42,148,7Networks_LH_DorsAttn_Post_6,3,69,32,42
43,664,7Networks_RH_Limbic_TempPole_12,5,34,56,21
44,469,7Networks_RH_SomMot_2,2,15,62,33
45,495,7Networks_RH_SomMot_28,2,14,62,45
46,790,7Networks_RH_Default_pCunPCC_11,7,42,35,50
47,801,HIP-head-m-rh,0,35,56,26
48,150,7Networks_LH_DorsAttn_Post_8,3,64,22,52
49,496,7Networks_RH_SomMot_29,2,12,60,49
50,783,7Networks_RH_Default_pCunPCC_4,7,37,34,46
