rank,roi_index,roi_id,node_energy,roi_name,mni_x,mni_y,mni_z,hemi,network,parcel_index,source
1,421,421,8.470621516613779,7Networks_RH_Vis_21,38.18107,32.670782,33.91358,RH,Vis,21.0,Schaefer
2,430,430,2.9019350033403897,7Networks_RH_Vis_30,42.978102,23.948905,35.583942,RH,Vis,30.0,Schaefer
3,412,412,2.622914324451318,7Networks_RH_Vis_12,32.572519,33.931298,32.022901,RH,Vis,12.0,Schaefer
4,422,422,2.58734306002721,7Networks_RH_Vis_22,40.737643,27.072243,34.011407,RH,Vis,22.0,Schaefer
5,117,117,2.2048198865231288,7Networks_LH_SomMot_50,46.990991,52.918919,66.414414,LH,SomMot,50.0,Schaefer
6,295,295,1.3675392754769842,7Networks_LH_Cont_pCun_2,49.414894,24.446809,58.297872,LH,Cont,2.0,Schaefer
7,172,172,1.2367029207055742,7Networks_LH_DorsAttn_Post_30,59.613861,32.683168,67.366337,LH,DorsAttn,30.0,Schaefer
8,723,723,1.0705194542008971,7Networks_RH_Cont_Cing_3,42.269231,54.201923,50.865385,RH,Cont,3.0,Schaefer
9,130,130,1.0129232708153464,7Networks_LH_SomMot_63,54.557377,51.114754,70.0,LH,SomMot,63.0,Schaefer
10,389,389,0.8134228136110437,7Networks_LH_Default_pCunPCC_17,46.184971,55.104046,54.0,LH,Default,17.0,Schaefer
11,259,259,0.8089837460976228,7Networks_LH_Cont_Par_1,74.536145,42.271084,58.006024,LH,Cont,1.0,Schaefer
12,260,260,0.7851788618339328,7Networks_LH_Cont_Par_2,71.672026,37.990354,57.848875,LH,Cont,2.0,Schaefer
13,406,406,0.7082939751187398,7Networks_RH_Vis_6,21.905941,34.212871,27.316832,RH,Vis,6.0,Schaefer
14,657,657,0.58723887136785,7Networks_RH_Limbic_TempPole_5,29.45974,58.088312,18.506494,RH,Limbic,5.0,Schaefer
15,325,325,0.5516026718959911,7Networks_LH_Default_Par_6,70.404959,36.0,48.603306,LH,Default,6.0,Schaefer
16,155,155,0.4980557462104071,7Networks_LH_DorsAttn_Post_13,72.541935,45.812903,59.503226,LH,DorsAttn,13.0,Schaefer
17,294,294,0.4423873501954722,7Networks_LH_Cont_pCun_1,49.027523,26.587156,54.486239,LH,Cont,1.0,Schaefer
18,162,162,0.441521214457398,7Networks_LH_DorsAttn_Post_20,51.76506,25.216867,62.289157,LH,DorsAttn,20.0,Schaefer
19,740,740,0.4101648829921618,7Networks_RH_Default_Temp_4,15.141618,60.549133,27.624277,RH,Default,4.0,Schaefer
20,446,446,0.3232895524296182,7Networks_RH_Vis_46,34.565789,33.368421,41.447368,RH,Vis,46.0,Schaefer
21,106,106,0.3224597593265093,7Networks_LH_SomMot_39,47.73822,54.91623,60.926702,LH,SomMot,39.0,Schaefer
22,809,809,0.2395135497120564,THA-DAm-rh,40.151163,50.877907,41.569767,,,,Schaefer
23,499,499,0.2265536827658985,7Networks_RH_SomMot_32,14.212766,59.170213,54.978723,RH,SomMot,32.0,Schaefer
24,688,688,0.2220108823896376,7Networks_RH_Cont_PFCl_5,35.150641,95.326923,34.355769,RH,Cont,5.0,Schaefer
25,798,798,0.2195869224771094,7Networks_RH_Default_pCunPCC_19,41.544872,33.442308,57.301282,RH,Default,19.0,Schaefer
26,441,441,0.2188813137850306,7Networks_RH_Vis_41,33.450495,34.09901,38.59901,RH,Vis,41.0,Schaefer
27,60,60,0.1855368640023849,7Networks_LH_Vis_60,48.666667,24.825641,49.133333,LH,Vis,60.0,Schaefer
28,330,330,0.159998196690064,7Networks_LH_Default_Par_11,64.107143,25.678571,57.833333,LH,Default,11.0,Schaefer
29,762,762,0.1483604643916944,7Networks_RH_Default_PFCdPFCm_7,35.44918,96.203279,41.606557,RH,Default,7.0,Schaefer
30,686,686,0.139293264881903,7Networks_RH_Cont_PFCl_3,24.570281,88.389558,29.738956,RH,Cont,3.0,Schaefer
31,397,397,0.1385415493698997,7Networks_LH_Default_pCunPCC_25,47.409091,33.727273,57.477273,LH,Default,25.0,Schaefer
32,763,763,0.1082523707387775,7Networks_RH_Default_PFCdPFCm_8,41.385567,91.468041,41.134021,RH,Default,8.0,Schaefer
33,50,50,0.107078350708567,7Networks_LH_Vis_50,45.59596,23.080808,42.494949,LH,Vis,50.0,Schaefer
34,144,144,0.1058142545727789,7Networks_LH_DorsAttn_Post_2,68.148936,32.265957,32.308511,LH,DorsAttn,2.0,Schaefer
