type,contact_index,contact_label,roi_id,roi_rank,distance
bipolar,1,A*1-A*2,657,1,6.346659460795371
bipolar,2,A*2-A*3,664,1,4.384138308351551
bipolar,3,A*3-A*4,664,1,1.5321619652145841
bipolar,4,A*4-A*5,664,1,2.3595689486149087
bipolar,5,A*5-A*6,801,1,1.394558405027635
bipolar,6,A*6-A*7,801,1,4.202055488294571
bipolar,7,A*7-A*8,805,1,4.492443062429502
bipolar,8,A*8-A*9,805,1,2.847264974298089
bipolar,9,A*9-A*10,809,1,3.3653890686768038
bipolar,10,A*12-A*13,723,1,2.7371799551794935
bipolar,11,A*13-A*14,389,1,1.9641195605575827
bipolar,12,A*14-A*15,389,1,2.139756515978004
bipolar,13,A*15-A*16,106,1,1.6895965053595647
bipolar,14,A*16-A*17,117,1,2.911932869341451
bipolar,15,A*17-A*18,130,1,2.9928674008690037
bipolar,16,B*1-B*2,421,1,9.503125906604247
bipolar,17,B*2-B*3,421,1,6.697685360945287
bipolar,18,B*3-B*4,422,1,4.181024428081396
bipolar,19,B*4-B*5,422,1,2.8460074445338375
bipolar,20,B*5-B*6,430,1,3.2328878286731544
bipolar,21,B*6-B*7,50,1,2.932424488487794
bipolar,22,B*7-B*8,50,1,3.1889018017358635
bipolar,23,B*8-B*9,60,1,3.2666596569547517
bipolar,24,B*9-B*10,294,1,3.569566852775194
bipolar,25,B*10-B*11,295,1,2.016338590346566
bipolar,26,B*11-B*12,295,1,3.0031373134626405
bipolar,27,B*12-B*13,162,1,4.180481946841617
bipolar,28,B*13-B*14,162,1,6.296310499564931
bipolar,29,B*14-B*15,162,1,9.328344227550824
bipolar,30,D*1-D*2,406,1,1.2178618932615708
bipolar,31,D*2-D*3,406,1,4.567226563765078
bipolar,32,D*3-D*4,412,1,4.584382464405724
bipolar,33,D*4-D*5,441,1,2.954847582895872
bipolar,34,D*5-D*6,446,1,2.0099648754953994
bipolar,35,D*6-D*7,783,1,1.869040136455668
bipolar,36,D*7-D*8,783,1,1.9882276899237767
bipolar,37,D*8-D*9,790,1,2.1333015369066386
bipolar,38,D*9-D*10,798,1,2.550819253244295
bipolar,39,D*10-D*11,397,1,1.1646451522843149
bipolar,40,D*11-D*12,399,1,2.1305338835975176
bipolar,41,D*12-D*13,174,1,3.439402471512112
bipolar,42,D*13-D*14,175,1,3.1168827412368785
bipolar,43,D*14-D*15,172,1,1.494385020820181
bipolar,44,E*1-E*2,740,1,2.989777220284942
bipolar,45,E*2-E*3,469,1,3.018836975225535
bipolar,46,E*3-E*4,469,1,3.796647239684285
bipolar,47,E*4-E*5,491,1,4.218990721477031
bipolar,48,E*5-E*6,495,1,3.0481497933582795
bipolar,49,E*6-E*7,496,1,2.83972531873556
bipolar,50,E*7-E*8,496,1,3.1322876464481997
bipolar,51,E*8-E*9,496,1,5.610076840597806
bipolar,52,E*9-E*10,499,1,7.302783177261499
bipolar,53,I*1-I*2,686,1,15.289535775049595
bipolar,54,I*2-I*3,686,1,11.757489450865885
bipolar,55,I*3-I*4,686,1,8.84287780017523
bipolar,56,I*4-I*5,687,1,7.509291169035003
bipolar,57,I*5-I*6,687,1,5.338793143566348
bipolar,58,I*6-I*7,688,1,4.153592082612477
bipolar,59,I*7-I*8,762,1,3.1179013495002184
bipolar,60,I*8-I*9,762,1,4.849850229570814
bipolar,61,I*9-I*10,763,1,6.910712881915614
bipolar,62,U*1-U*2,144,1,2.2072277799016597
bipolar,63,U*2-U*3,148,1,2.934247927485342
bipolar,64,U*3-U*4,320,1,2.580432357078007
bipolar,65,U*4-U*5,325,1,1.629038323408432
bipolar,66,U*5-U*6,325,1,1.80522763633403
bipolar,67,U*6-U*7,260,1,4.378634939819482
bipolar,68,U*7-U*8,259,1,1.9425460646285555
bipolar,69,U*8-U*9,259,1,2.1165538429397643
bipolar,70,U*9-U*10,155,1,4.555419934653607
bipolar,71,W*1-W*2,150,1,7.851216075328369
bipolar,72,W*2-W*3,150,1,7.426011112342768
bipolar,73,W*3-W*4,150,1,8.18744061016549
bipolar,74,W*4-W*5,330,1,9.888205025371201
bipolar,75,W*5-W*6,330,1,10.761867860714194
bipolar,76,W*6-W*7,330,1,12.243151821770693
bipolar,77,W*7-W*8,330,1,14.485003456682119
