type,contact_index,contact_label,roi_id,roi_rank,distance
monopolar,1,A*1,657,1,6.163503039722588
monopolar,2,A*2,657,1,4.656025605553942
monopolar,3,A*3,664,1,2.541184437152025
monopolar,4,A*4,664,1,1.6280692791436446
monopolar,5,A*5,801,1,2.140173088118358
monopolar,6,A*6,801,1,2.870017857388375
monopolar,7,A*7,805,1,5.81202738056052
monopolar,8,A*8,805,1,2.9165474587162077
monopolar,9,A*9,805,1,2.550390575085914
monopolar,10,A*10,809,1,3.3489159023731223
monopolar,11,A*11,809,1,4.66318262957268
monopolar,12,A*12,299,1,5.331073470683195
monopolar,13,A*13,299,1,2.8110573132740604
monopolar,14,A*14,299,1,2.4704709144148818
monopolar,15,A*15,219,1,1.958119003407561
monopolar,16,A*16,221,1,1.6421825463813837
monopolar,17,A*17,221,1,3.615183227787718
monopolar,18,A*18,131,1,3.1132895149621946
monopolar,19,B*1,417,1,10.579939378760718
monopolar,20,B*2,421,1,7.97696417160569
monopolar,21,B*3,422,1,5.429349378650315
monopolar,22,B*4,422,1,2.950659693091339
monopolar,23,B*5,430,1,2.7353292695397284
monopolar,24,B*6,430,1,2.8347382214099044
monopolar,25,B*7,50,1,1.670616667552037
monopolar,26,B*8,54,1,2.0840747520869325
monopolar,27,B*9,54,1,2.572516456876953
monopolar,28,B*10,62,1,2.068883743330016
monopolar,29,B*11,65,1,2.650713247891053
monopolar,30,B*12,67,1,3.2193559664389273
monopolar,31,B*13,67,1,4.255220248948667
monopolar,32,B*14,67,1,6.785916269258611
monopolar,33,B*15,162,1,9.802272796546955
monopolar,34,D*1,546,1,1.3951596200682705
monopolar,35,D*2,406,1,3.5493105932106954
monopolar,36,D*3,408,1,4.887061131957386
monopolar,37,D*4,412,1,4.4896530912323716
monopolar,38,D*5,441,1,1.2955032356451872
monopolar,39,D*6,446,1,1.0904986424924497
monopolar,40,D*7,783,1,0.6278831723460081
monopolar,41,D*8,790,1,2.0111683056403553
monopolar,42,D*9,796,1,0.9686464660027073
monopolar,43,D*10,392,1,1.9420335918463436
monopolar,44,D*11,397,1,2.679715275066641
monopolar,45,D*12,158,1,3.525304423037053
monopolar,46,D*13,158,1,2.1326857461991944
monopolar,47,D*14,166,1,2.8442596341808724
monopolar,48,D*15,166,1,1.853833004313091
monopolar,49,E*1,740,1,2.178457476951107
monopolar,50,E*2,469,1,1.9595555019282893
monopolar,51,E*3,469,1,3.1461414990035994
monopolar,52,E*4,491,1,3.1896013645736914
monopolar,53,E*5,491,1,2.3176103846488405
monopolar,54,E*6,495,1,1.4906561968534449
monopolar,55,E*7,496,1,2.2961282487090884
monopolar,56,E*8,497,1,4.012793646716072
monopolar,57,E*9,499,1,4.843898127229334
monopolar,58,E*10,499,1,6.841729502404047
monopolar,59,I*1,686,1,14.481755895596127
monopolar,60,I*2,686,1,11.607931055475873
monopolar,61,I*3,686,1,8.310538372406944
monopolar,62,I*4,687,1,6.959196879936423
monopolar,63,I*5,687,1,4.5130209774895125
monopolar,64,I*6,688,1,2.4109904112689406
monopolar,65,I*7,760,1,3.286921902861004
monopolar,66,I*8,760,1,2.709013212296623
monopolar,67,I*9,763,1,5.6435751367259135
monopolar,68,I*10,348,1,5.244956089049542
monopolar,69,U*1,7,1,2.4335096874054747
monopolar,70,U*2,144,1,1.5698356280864703
monopolar,71,U*3,146,1,2.598021427394914
monopolar,72,U*4,148,1,2.6849564605450547
monopolar,73,U*5,198,1,2.442606441095379
monopolar,74,U*6,325,1,1.9651514625313775
monopolar,75,U*7,327,1,2.025947008851105
monopolar,76,U*8,327,1,3.3583818512198804
monopolar,77,U*9,259,1,3.0595366853025285
monopolar,78,U*10,259,1,3.118310356250924
monopolar,79,W*1,33,1,7.607875137717601
monopolar,80,W*2,49,1,8.928093062140393
monopolar,81,W*3,150,1,9.085557547718526
monopolar,82,W*4,150,1,8.598186490722117
monopolar,83,W*5,150,1,10.051610124185995
monopolar,84,W*6,330,1,11.24190809073279
monopolar,85,W*7,330,1,12.174165950195226
monopolar,86,W*8,330,1,13.711933360307327
