type,contact_index,contact_label,roi_id,roi_rank,distance
bipolar,53,I*1-I*2,686,1,15.289535775049597
bipolar,77,W*7-W*8,330,1,14.48500345668212
monopolar,59,I*1,686,1,14.481755895596129
monopolar,86,W*8,330,1,13.711933360307327
bipolar,76,W*6-W*7,330,1,12.243151821770692
monopolar,85,W*7,330,1,12.174165950195226
bipolar,54,I*2-I*3,686,1,11.757489450865885
monopolar,60,I*2,686,1,11.607931055475872
monopolar,84,W*6,330,1,11.24190809073279
bipolar,75,W*5-W*6,330,1,10.761867860714194
monopolar,19,B*1,417,1,10.579939378760718
monopolar,83,W*5,150,1,10.051610124185997
bipolar,74,W*4-W*5,330,1,9.8882050253712
monopolar,33,B*15,162,1,9.802272796546957
bipolar,16,B*1-B*2,421,1,9.503125906604248
bipolar,29,B*14-B*15,162,1,9.328344227550824
monopolar,81,W*3,150,1,9.085557547718526
monopolar,80,W*2,49,1,8.928093062140393
bipolar,55,I*3-I*4,686,1,8.84287780017523
monopolar,82,W*4,150,1,8.598186490722117
monopolar,61,I*3,686,1,8.310538372406944
bipolar,73,W*3-W*4,150,1,8.18744061016549
monopolar,20,B*2,421,1,7.97696417160569
bipolar,71,W*1-W*2,150,1,7.851216075328369
monopolar,79,W*1,33,1,7.607875137717601
bipolar,56,I*4-I*5,687,1,7.509291169035003
bipolar,72,W*2-W*3,150,1,7.426011112342768
bipolar,52,E*9-E*10,499,1,7.302783177261499
monopolar,62,I*4,687,1,6.959196879936423
bipolar,61,I*9-I*10,763,1,6.910712881915614
monopolar,58,E*10,499,1,6.841729502404047
monopolar,32,B*14,67,1,6.785916269258611
bipolar,17,B*2-B*3,421,1,6.697685360945287
bipolar,1,A*1-A*2,657,1,6.346659460795371
bipolar,28,B*13-B*14,162,1,6.296310499564931
monopolar,1,A*1,657,1,6.163503039722588
