type,contact_index,contact_label,roi_id,roi_rank,distance
monopolar,59,I*1,686,1,14.481755895596129
monopolar,86,W*8,330,1,13.711933360307327
monopolar,85,W*7,330,1,12.174165950195226
monopolar,60,I*2,686,1,11.607931055475872
monopolar,84,W*6,330,1,11.24190809073279
monopolar,19,B*1,417,1,10.579939378760718
monopolar,83,W*5,150,1,10.051610124185997
monopolar,33,B*15,162,1,9.802272796546957
monopolar,81,W*3,150,1,9.085557547718526
monopolar,80,W*2,49,1,8.928093062140393
monopolar,82,W*4,150,1,8.598186490722117
monopolar,61,I*3,686,1,8.310538372406944
monopolar,20,B*2,421,1,7.97696417160569
monopolar,79,W*1,33,1,7.607875137717601
monopolar,62,I*4,687,1,6.959196879936423
monopolar,58,E*10,499,1,6.841729502404047
monopolar,32,B*14,67,1,6.785916269258611
monopolar,1,A*1,657,1,6.163503039722588
