roi_id,roi_name,mni_x,mni_y,mni_z,hemi,network
1,7Networks_LH_Vis_1,62.011976,42.949102,24.997006,LH,Vis
2,7Networks_LH_Vis_2,63.161538,35.2,26.784615,LH,Vis
3,7Networks_LH_Vis_3,58.020202,40.515152,29.070707,LH,Vis
4,7Networks_LH_Vis_4,59.29562,45.051095,28.547445,LH,Vis
5,7Networks_LH_Vis_5,59.150602,31.903614,29.385542,LH,Vis
6,7Networks_LH_Vis_6,62.865285,27.694301,27.92228,LH,Vis
7,7Networks_LH_Vis_7,67.438202,28.095506,29.11236,LH,Vis
8,7Networks_LH_Vis_8,57.192157,33.909804,31.54902,LH,Vis
9,7Networks_LH_Vis_9,56.202532,25.603376,31.329114,LH,Vis
10,7Networks_LH_Vis_10,65.469388,23.530612,29.068027,LH,Vis
11,7Networks_LH_Vis_11,54.368852,44.983607,29.721311,LH,Vis
12,7Networks_LH_Vis_12,57.201166,20.084548,28.259475,LH,Vis
13,7Networks_LH_Vis_13,55.673077,38.275641,32.794872,LH,Vis
14,7Networks_LH_Vis_14,64.568,19.624,28.032,LH,Vis
15,7Networks_LH_Vis_15,51.721805,21.105263,28.894737,LH,Vis
16,7Networks_LH_Vis_16,68.071429,27.080357,33.254464,LH,Vis
17,7Networks_LH_Vis_17,49.736111,25.231481,31.847222,LH,Vis
18,7Networks_LH_Vis_18,50.746411,31.090909,33.92823,LH,Vis
19,7Networks_LH_Vis_19,51.153846,37.230769,33.092308,LH,Vis
20,7Networks_LH_Vis_20,49.666667,14.891473,28.147287,LH,Vis
21,7Networks_LH_Vis_21,51.76087,42.98913,32.434783,LH,Vis
22,7Networks_LH_Vis_22,56.722838,14.268293,30.124169,LH,Vis
23,7Networks_LH_Vis_23,67.177419,20.747312,34.188172,LH,Vis
24,7Networks_LH_Vis_24,46.899522,19.229665,31.105263,LH,Vis
25,7Networks_LH_Vis_25,47.067416,26.168539,35.94382,LH,Vis
26,7Networks_LH_Vis_26,48.444444,32.277778,37.388889,LH,Vis
27,7Networks_LH_Vis_27,61.075581,16.424419,34.581395,LH,Vis
28,7Networks_LH_Vis_28,53.03,37.61,35.56,LH,Vis
29,7Networks_LH_Vis_29,67.939058,25.725762,39.163435,LH,Vis
30,7Networks_LH_Vis_30,48.521327,14.753555,33.966825,LH,Vis
31,7Networks_LH_Vis_31,50.518519,41.555556,36.444444,LH,Vis
32,7Networks_LH_Vis_32,48.409091,27.931818,39.215909,LH,Vis
33,7Networks_LH_Vis_33,64.75,18.955882,38.352941,LH,Vis
34,7Networks_LH_Vis_34,53.30137,33.219178,37.178082,LH,Vis
35,7Networks_LH_Vis_35,48.577586,22.344828,37.974138,LH,Vis
36,7Networks_LH_Vis_36,49.295082,11.221311,36.155738,LH,Vis
37,7Networks_LH_Vis_37,54.916201,12.480447,37.659218,LH,Vis
38,7Networks_LH_Vis_38,54.56,35.88,38.72,LH,Vis
39,7Networks_LH_Vis_39,47.762791,18.367442,38.069767,LH,Vis
40,7Networks_LH_Vis_40,50.685714,39.371429,37.885714,LH,Vis
41,7Networks_LH_Vis_41,53.840909,28.19697,39.0,LH,Vis
42,7Networks_LH_Vis_42,55.846154,32.661538,38.907692,LH,Vis
43,7Networks_LH_Vis_43,58.48285,16.783641,40.237467,LH,Vis
44,7Networks_LH_Vis_44,48.945,26.22,41.74,LH,Vis
45,7Networks_LH_Vis_45,53.666667,32.733333,40.666667,LH,Vis
46,7Networks_LH_Vis_46,69.234375,27.3125,44.835938,LH,Vis
47,7Networks_LH_Vis_47,46.15942,14.985507,42.0,LH,Vis
48,7Networks_LH_Vis_48,51.396491,13.421053,43.25614,LH,Vis
49,7Networks_LH_Vis_49,64.975717,21.474614,43.88521,LH,Vis
50,7Networks_LH_Vis_50,45.59596,23.080808,42.494949,LH,Vis
51,7Networks_LH_Vis_51,52.702703,30.77027,42.364865,LH,Vis
52,7Networks_LH_Vis_52,56.462963,17.123457,45.91358,LH,Vis
53,7Networks_LH_Vis_53,48.362069,29.103448,44.017241,LH,Vis
54,7Networks_LH_Vis_54,46.02439,21.17561,46.629268,LH,Vis
55,7Networks_LH_Vis_55,48.676923,16.646154,48.666667,LH,Vis
56,7Networks_LH_Vis_56,53.141732,31.519685,46.472441,LH,Vis
57,7Networks_LH_Vis_57,52.465909,27.75,45.886364,LH,Vis
58,7Networks_LH_Vis_58,53.690821,17.855072,48.753623,LH,Vis
59,7Networks_LH_Vis_59,58.304054,22.290541,45.932432,LH,Vis
60,7Networks_LH_Vis_60,48.666667,24.825641,49.133333,LH,Vis
61,7Networks_LH_Vis_61,60.89404,20.688742,48.89404,LH,Vis
62,7Networks_LH_Vis_62,47.395604,19.714286,52.747253,LH,Vis
63,7Networks_LH_Vis_63,53.027473,18.840659,54.252747,LH,Vis
64,7Networks_LH_Vis_64,56.765957,22.031915,51.553191,LH,Vis
65,7Networks_LH_Vis_65,51.103604,22.405405,54.328829,LH,Vis
66,7Networks_LH_Vis_66,56.3,22.611111,57.044444,LH,Vis
67,7Networks_LH_Vis_67,53.377358,22.150943,59.716981,LH,Vis
68,7Networks_LH_SomMot_1,71.468672,62.796992,34.293233,LH,SomMot
69,7Networks_LH_SomMot_2,72.809028,54.538194,39.069444,LH,SomMot
70,7Networks_LH_SomMot_3,66.529801,53.450331,37.629139,LH,SomMot
71,7Networks_LH_SomMot_4,75.315508,50.219251,40.887701,LH,SomMot
72,7Networks_LH_SomMot_5,63.02381,57.166667,42.095238,LH,SomMot
73,7Networks_LH_SomMot_6,62.963504,51.124088,41.350365,LH,SomMot
74,7Networks_LH_SomMot_7,76.179012,43.506173,40.567901,LH,SomMot
75,7Networks_LH_SomMot_8,66.390805,48.310345,40.206897,LH,SomMot
76,7Networks_LH_SomMot_9,63.038462,55.846154,44.865385,LH,SomMot
77,7Networks_LH_SomMot_10,69.322581,46.467742,41.435484,LH,SomMot
78,7Networks_LH_SomMot_11,66.305263,56.115789,44.305263,LH,SomMot
79,7Networks_LH_SomMot_12,62.705521,49.331288,45.312883,LH,SomMot
80,7Networks_LH_SomMot_13,74.489083,44.628821,43.855895,LH,SomMot
81,7Networks_LH_SomMot_14,70.625899,56.834532,42.460432,LH,SomMot
82,7Networks_LH_SomMot_15,65.338235,44.919118,44.580882,LH,SomMot
83,7Networks_LH_SomMot_16,74.586735,61.459184,41.27551,LH,SomMot
84,7Networks_LH_SomMot_17,67.744681,51.691489,45.414894,LH,SomMot
85,7Networks_LH_SomMot_18,74.732057,54.38756,45.334928,LH,SomMot
86,7Networks_LH_SomMot_19,70.81457,49.596026,44.529801,LH,SomMot
87,7Networks_LH_SomMot_20,75.0,61.88172,45.365591,LH,SomMot
88,7Networks_LH_SomMot_21,77.22,58.41,46.31,LH,SomMot
89,7Networks_LH_SomMot_22,73.085106,59.106383,48.202128,LH,SomMot
90,7Networks_LH_SomMot_23,73.898876,63.241573,50.859551,LH,SomMot
91,7Networks_LH_SomMot_24,75.92381,58.133333,52.952381,LH,SomMot
92,7Networks_LH_SomMot_25,69.968254,58.634921,51.285714,LH,SomMot
93,7Networks_LH_SomMot_26,72.6,61.721739,56.452174,LH,SomMot
94,7Networks_LH_SomMot_27,72.5,53.390805,56.431034,LH,SomMot
95,7Networks_LH_SomMot_28,70.740541,55.918919,55.367568,LH,SomMot
96,7Networks_LH_SomMot_29,68.053846,57.169231,55.676923,LH,SomMot
97,7Networks_LH_SomMot_30,48.964912,58.973684,56.473684,LH,SomMot
98,7Networks_LH_SomMot_31,73.0,54.811321,61.396226,LH,SomMot
99,7Networks_LH_SomMot_32,70.730496,62.35461,60.560284,LH,SomMot
100,7Networks_LH_SomMot_33,68.513158,49.447368,58.763158,LH,SomMot
101,7Networks_LH_SomMot_34,65.0,53.596774,56.5,LH,SomMot
102,7Networks_LH_SomMot_35,49.207207,58.126126,59.540541,LH,SomMot
103,7Networks_LH_SomMot_36,70.615894,50.423841,63.271523,LH,SomMot
104,7Networks_LH_SomMot_37,66.730769,57.115385,61.223077,LH,SomMot
105,7Networks_LH_SomMot_38,62.424242,53.363636,59.212121,LH,SomMot
106,7Networks_LH_SomMot_39,47.73822,54.91623,60.926702,LH,SomMot
107,7Networks_LH_SomMot_40,67.067376,52.741135,63.219858,LH,SomMot
108,7Networks_LH_SomMot_41,47.655738,49.590164,61.934426,LH,SomMot
109,7Networks_LH_SomMot_42,66.91018,46.209581,67.269461,LH,SomMot
110,7Networks_LH_SomMot_43,64.591667,55.429167,66.220833,LH,SomMot
111,7Networks_LH_SomMot_44,48.796296,43.740741,63.333333,LH,SomMot
112,7Networks_LH_SomMot_45,60.872038,40.123223,66.791469,LH,SomMot
113,7Networks_LH_SomMot_46,47.210526,58.865497,66.251462,LH,SomMot
114,7Networks_LH_SomMot_47,62.22807,49.22807,62.929825,LH,SomMot
115,7Networks_LH_SomMot_48,61.378788,43.863636,66.712121,LH,SomMot
116,7Networks_LH_SomMot_49,59.651376,57.266055,69.06422,LH,SomMot
117,7Networks_LH_SomMot_50,46.990991,52.918919,66.414414,LH,SomMot
118,7Networks_LH_SomMot_51,61.607843,48.490196,68.496732,LH,SomMot
119,7Networks_LH_SomMot_52,60.068807,51.963303,68.958716,LH,SomMot
120,7Networks_LH_SomMot_53,57.688312,48.623377,63.896104,LH,SomMot
121,7Networks_LH_SomMot_54,46.382022,47.775281,66.831461,LH,SomMot
122,7Networks_LH_SomMot_55,58.162393,43.247863,68.965812,LH,SomMot
123,7Networks_LH_SomMot_56,48.819549,41.75188,68.022556,LH,SomMot
